Episode: 0, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 5, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 240, Recent Actor Losses: [tensor(-31.0328, device='cuda:0')], Recent Critic Losses: [tensor(1.0185, device='cuda:0')]
Episode: 245, Recent Actor Losses: [tensor(-30.7794, device='cuda:0')], Recent Critic Losses: [tensor(0.5586, device='cuda:0')]
Episode: 250, Recent Actor Losses: [tensor(-28.9461, device='cuda:0')], Recent Critic Losses: [tensor(0.3176, device='cuda:0')]
Episode: 255, Recent Actor Losses: [tensor(-29.7346, device='cuda:0')], Recent Critic Losses: [tensor(0.6398, device='cuda:0')]
Episode: 260, Recent Actor Losses: [tensor(-29.3687, device='cuda:0')], Recent Critic Losses: [tensor(0.1939, device='cuda:0')]
Episode: 265, Recent Actor Losses: [tensor(-29.6337, device='cuda:0')], Recent Critic Losses: [tensor(0.9149, device='cuda:0')]
Episode: 270, Recent Actor Losses: [tensor(-31.2349, device='cuda:0')], Recent Critic Losses: [tensor(0.5132, device='cuda:0')]
Episode: 275, Recent Actor Losses: [tensor(-29.4522, device='cuda:0')], Recent Critic Losses: [tensor(0.8361, device='cuda:0')]
Episode: 280, Recent Actor Losses: [tensor(-31.0833, device='cuda:0')], Recent Critic Losses: [tensor(1.2463, device='cuda:0')]
Episode: 285, Recent Actor Losses: [tensor(-29.5623, device='cuda:0')], Recent Critic Losses: [tensor(0.6803, device='cuda:0')]
Episode: 290, Recent Actor Losses: [tensor(-30.2283, device='cuda:0')], Recent Critic Losses: [tensor(0.9672, device='cuda:0')]
Episode: 295, Recent Actor Losses: [tensor(-30.6999, device='cuda:0')], Recent Critic Losses: [tensor(0.8798, device='cuda:0')]
Episode: 300, Recent Actor Losses: [tensor(-31.8101, device='cuda:0')], Recent Critic Losses: [tensor(0.4340, device='cuda:0')]
Episode: 305, Recent Actor Losses: [tensor(-29.3502, device='cuda:0')], Recent Critic Losses: [tensor(1.0009, device='cuda:0')]
Episode: 310, Recent Actor Losses: [tensor(-28.7172, device='cuda:0')], Recent Critic Losses: [tensor(0.1690, device='cuda:0')]
Episode: 315, Recent Actor Losses: [tensor(-30.6651, device='cuda:0')], Recent Critic Losses: [tensor(0.4051, device='cuda:0')]
Episode: 320, Recent Actor Losses: [tensor(-29.1835, device='cuda:0')], Recent Critic Losses: [tensor(0.7067, device='cuda:0')]
Episode: 325, Recent Actor Losses: [tensor(-30.8828, device='cuda:0')], Recent Critic Losses: [tensor(1.0056, device='cuda:0')]
Episode: 330, Recent Actor Losses: [tensor(-30.3091, device='cuda:0')], Recent Critic Losses: [tensor(0.2880, device='cuda:0')]
Episode: 335, Recent Actor Losses: [tensor(-30.8093, device='cuda:0')], Recent Critic Losses: [tensor(0.3509, device='cuda:0')]
Episode: 340, Recent Actor Losses: [tensor(-31.8048, device='cuda:0')], Recent Critic Losses: [tensor(0.7619, device='cuda:0')]
Episode: 345, Recent Actor Losses: [tensor(-29.5529, device='cuda:0')], Recent Critic Losses: [tensor(0.5737, device='cuda:0')]
Episode: 350, Recent Actor Losses: [tensor(-30.2547, device='cuda:0')], Recent Critic Losses: [tensor(0.4733, device='cuda:0')]
Episode: 355, Recent Actor Losses: [tensor(-31.2627, device='cuda:0')], Recent Critic Losses: [tensor(0.5811, device='cuda:0')]
Episode: 360, Recent Actor Losses: [tensor(-29.3615, device='cuda:0')], Recent Critic Losses: [tensor(0.1953, device='cuda:0')]
Episode: 365, Recent Actor Losses: [tensor(-30.2202, device='cuda:0')], Recent Critic Losses: [tensor(0.2131, device='cuda:0')]
Episode: 370, Recent Actor Losses: [tensor(-30.5904, device='cuda:0')], Recent Critic Losses: [tensor(0.6478, device='cuda:0')]
Episode: 375, Recent Actor Losses: [tensor(-30.1266, device='cuda:0')], Recent Critic Losses: [tensor(0.1440, device='cuda:0')]
Episode: 380, Recent Actor Losses: [tensor(-32.5780, device='cuda:0')], Recent Critic Losses: [tensor(0.3927, device='cuda:0')]
Episode: 385, Recent Actor Losses: [tensor(-30.7091, device='cuda:0')], Recent Critic Losses: [tensor(1.4573, device='cuda:0')]
Episode: 390, Recent Actor Losses: [tensor(-31.4148, device='cuda:0')], Recent Critic Losses: [tensor(0.3206, device='cuda:0')]
Episode: 395, Recent Actor Losses: [tensor(-30.6558, device='cuda:0')], Recent Critic Losses: [tensor(1.0109, device='cuda:0')]
Episode: 400, Recent Actor Losses: [tensor(-28.7624, device='cuda:0')], Recent Critic Losses: [tensor(0.2214, device='cuda:0')]
Episode: 405, Recent Actor Losses: [tensor(-31.5497, device='cuda:0')], Recent Critic Losses: [tensor(0.4538, device='cuda:0')]
Episode: 410, Recent Actor Losses: [tensor(-31.0191, device='cuda:0')], Recent Critic Losses: [tensor(0.8113, device='cuda:0')]
Episode: 415, Recent Actor Losses: [tensor(-30.0026, device='cuda:0')], Recent Critic Losses: [tensor(1.0559, device='cuda:0')]
Episode: 420, Recent Actor Losses: [tensor(-31.8806, device='cuda:0')], Recent Critic Losses: [tensor(0.5280, device='cuda:0')]
Episode: 425, Recent Actor Losses: [tensor(-30.7784, device='cuda:0')], Recent Critic Losses: [tensor(0.6987, device='cuda:0')]
Episode: 430, Recent Actor Losses: [tensor(-29.9192, device='cuda:0')], Recent Critic Losses: [tensor(0.8122, device='cuda:0')]
Episode: 435, Recent Actor Losses: [tensor(-32.9318, device='cuda:0')], Recent Critic Losses: [tensor(0.6820, device='cuda:0')]
Episode: 440, Recent Actor Losses: [tensor(-31.5913, device='cuda:0')], Recent Critic Losses: [tensor(0.9821, device='cuda:0')]
Episode: 445, Recent Actor Losses: [tensor(-29.4081, device='cuda:0')], Recent Critic Losses: [tensor(0.2995, device='cuda:0')]
Episode: 450, Recent Actor Losses: [tensor(-29.8168, device='cuda:0')], Recent Critic Losses: [tensor(0.3493, device='cuda:0')]
Episode: 455, Recent Actor Losses: [tensor(-29.7678, device='cuda:0')], Recent Critic Losses: [tensor(0.7301, device='cuda:0')]
Episode: 460, Recent Actor Losses: [tensor(-29.6896, device='cuda:0')], Recent Critic Losses: [tensor(0.6076, device='cuda:0')]
Episode: 465, Recent Actor Losses: [tensor(-29.7991, device='cuda:0')], Recent Critic Losses: [tensor(1.0421, device='cuda:0')]
Episode: 470, Recent Actor Losses: [tensor(-29.3634, device='cuda:0')], Recent Critic Losses: [tensor(0.2190, device='cuda:0')]
Episode: 475, Recent Actor Losses: [tensor(-29.2114, device='cuda:0')], Recent Critic Losses: [tensor(0.4439, device='cuda:0')]
Episode: 480, Recent Actor Losses: [tensor(-29.4985, device='cuda:0')], Recent Critic Losses: [tensor(1.2181, device='cuda:0')]
Episode: 485, Recent Actor Losses: [tensor(-32.6534, device='cuda:0')], Recent Critic Losses: [tensor(1.2288, device='cuda:0')]
Episode: 490, Recent Actor Losses: [tensor(-30.6891, device='cuda:0')], Recent Critic Losses: [tensor(0.7274, device='cuda:0')]
Episode: 495, Recent Actor Losses: [tensor(-31.5376, device='cuda:0')], Recent Critic Losses: [tensor(0.4874, device='cuda:0')]
Episode: 500, Recent Actor Losses: [tensor(-30.1354, device='cuda:0')], Recent Critic Losses: [tensor(0.5651, device='cuda:0')]
Episode: 505, Recent Actor Losses: [tensor(-30.3393, device='cuda:0')], Recent Critic Losses: [tensor(0.1737, device='cuda:0')]
Episode: 510, Recent Actor Losses: [tensor(-30.4775, device='cuda:0')], Recent Critic Losses: [tensor(0.5686, device='cuda:0')]
Episode: 515, Recent Actor Losses: [tensor(-29.7382, device='cuda:0')], Recent Critic Losses: [tensor(1.2187, device='cuda:0')]
Episode: 520, Recent Actor Losses: [tensor(-31.5167, device='cuda:0')], Recent Critic Losses: [tensor(0.4653, device='cuda:0')]
Episode: 525, Recent Actor Losses: [tensor(-31.7408, device='cuda:0')], Recent Critic Losses: [tensor(0.8537, device='cuda:0')]
Episode: 530, Recent Actor Losses: [tensor(-30.2268, device='cuda:0')], Recent Critic Losses: [tensor(0.2092, device='cuda:0')]
Episode: 535, Recent Actor Losses: [tensor(-28.5506, device='cuda:0')], Recent Critic Losses: [tensor(0.5709, device='cuda:0')]
Episode: 540, Recent Actor Losses: [tensor(-28.3621, device='cuda:0')], Recent Critic Losses: [tensor(0.1781, device='cuda:0')]
Episode: 545, Recent Actor Losses: [tensor(-29.5565, device='cuda:0')], Recent Critic Losses: [tensor(0.4049, device='cuda:0')]
Episode: 550, Recent Actor Losses: [tensor(-31.5497, device='cuda:0')], Recent Critic Losses: [tensor(0.4391, device='cuda:0')]
Episode: 555, Recent Actor Losses: [tensor(-31.2322, device='cuda:0')], Recent Critic Losses: [tensor(0.9478, device='cuda:0')]
Episode: 560, Recent Actor Losses: [tensor(-29.4034, device='cuda:0')], Recent Critic Losses: [tensor(0.6616, device='cuda:0')]
Episode: 565, Recent Actor Losses: [tensor(-29.2932, device='cuda:0')], Recent Critic Losses: [tensor(0.6074, device='cuda:0')]
Episode: 570, Recent Actor Losses: [tensor(-29.4935, device='cuda:0')], Recent Critic Losses: [tensor(0.8986, device='cuda:0')]
Episode: 575, Recent Actor Losses: [tensor(-30.0340, device='cuda:0')], Recent Critic Losses: [tensor(0.5757, device='cuda:0')]
Episode: 580, Recent Actor Losses: [tensor(-31.2658, device='cuda:0')], Recent Critic Losses: [tensor(0.7892, device='cuda:0')]
Episode: 585, Recent Actor Losses: [tensor(-29.9122, device='cuda:0')], Recent Critic Losses: [tensor(0.7340, device='cuda:0')]
Episode: 590, Recent Actor Losses: [tensor(-29.9380, device='cuda:0')], Recent Critic Losses: [tensor(0.1842, device='cuda:0')]
Episode: 595, Recent Actor Losses: [tensor(-31.3094, device='cuda:0')], Recent Critic Losses: [tensor(0.4664, device='cuda:0')]
Episode: 600, Recent Actor Losses: [tensor(-30.3888, device='cuda:0')], Recent Critic Losses: [tensor(0.2967, device='cuda:0')]
Episode: 605, Recent Actor Losses: [tensor(-31.2794, device='cuda:0')], Recent Critic Losses: [tensor(0.2938, device='cuda:0')]
Episode: 610, Recent Actor Losses: [tensor(-30.2375, device='cuda:0')], Recent Critic Losses: [tensor(1.0492, device='cuda:0')]
Episode: 615, Recent Actor Losses: [tensor(-29.9040, device='cuda:0')], Recent Critic Losses: [tensor(1.4580, device='cuda:0')]
Episode: 620, Recent Actor Losses: [tensor(-30.8677, device='cuda:0')], Recent Critic Losses: [tensor(0.5331, device='cuda:0')]
Episode: 625, Recent Actor Losses: [tensor(-29.0996, device='cuda:0')], Recent Critic Losses: [tensor(0.7411, device='cuda:0')]
Episode: 630, Recent Actor Losses: [tensor(-29.7384, device='cuda:0')], Recent Critic Losses: [tensor(0.2814, device='cuda:0')]
Episode: 635, Recent Actor Losses: [tensor(-30.0849, device='cuda:0')], Recent Critic Losses: [tensor(0.2179, device='cuda:0')]
Episode: 640, Recent Actor Losses: [tensor(-30.6311, device='cuda:0')], Recent Critic Losses: [tensor(0.9857, device='cuda:0')]
Episode: 645, Recent Actor Losses: [tensor(-31.5669, device='cuda:0')], Recent Critic Losses: [tensor(0.5194, device='cuda:0')]
